name,relation,note
Titanohematite,Hematite,Ti-bearing variety of hematite
Titanoholtite,Holtite,For composition and the relationship to holtite.
Titanomaghemite,Maghemite,In allusion to its titanium content and relationship to Maghemite.
Titanorhabdophane,Rhabdophane,As a Ti-rich Rhabdophane
Titanowodginite,Wodginite,For predominant TITANium and its relation to wodginite.
Titantaramellite,Taramellite,For its TITANium content and relation to taramellite.
Tivanite,,For TItanium and VANadium in the composition.
Tongxinite,,"Named for the composition (tong = copper, xin = zinc)."
Törnebohmite-(Ce),Törnebohmite,For the relation to Törnebohmite and the dominant Ce
Törnebohmite-(La),Törnebohmite,For the relation to Törnebohmite and the dominant La
Triazolite,,"Named in reflection of the presence of 1,2,4-triazolate anion."
Tritomite-(Ce),Tritomite,"For its relation to tritomite, and Ce in the composition."
Tritomite-(Y),Tritomite,"For its relation to tritomite, and yttrium in the composition."
Tsepinite-Ca,Tsepinite Root,For dominant Ca and relation to Tsepinite
Tsepinite-K,Tsepinite Root,For dominant K and relation to Tsepinite
Tsepinite-Na,Tsepinite Root,For dominant Na and relation to Tsepinite
Tsepinite-Sr,Tsepinite Root,For dominant Sr and relation to Tsepinite
Tsumgallite,,"Named for the type locality, the TSUMcor Mine, Tsumeb, Namibia, and the chemical composition, which contains GALLium."
Tundrite-(Ce),Tundrite,"For its relation to tundrite, and its Ce content."
Tundrite-(Nd),Tundrite,"For its relation to tundrite, and its neodymium content."
Tungstenite,,The name reflects its tungsten content.
Tungstenoan Wulfenite,Wulfenite,A tungsten-bearing wulfenite.
Tungstibite,,"For TUNGsten and antimony, STIBium, in the composition."
Tungstite,,For TUNGSTen in the composition.
U-Galena,Galena,A variety of Galena containing uranium-derived lead of isotope Pb-206.
Umohoite,,"For Uranium, MOlybdenum, Hydrogen, and Oxygen in the composition."
Upalite,,"For Uranium, Phosphorus, and ALuminum in the composition."
Uralborite,,For BORate in its composition.
Uramarsite,,"An acronym for the major chemical components URanium, AMmonium, ARSenate."
Uramphite,,"For its content of URanium, AMmonium, and PHosphate."
Urancalcarite,,"For URANium, CALcium, and CARbonate in the composition."
Uraniferous Graphite,Graphite,A uranium-bearing variety of graphite.
Uraniferous Zircon,Zircon,An U-bearing zircon
Uraninite,,for its composition containing uranium
Uranmicrolite (of Hogarth 1977),Microlite,As a member of the microlite subgroup with significant uranium content.
Uranocircite,,The name reflects its uranium content
Uranohydrothorite,Thorite,Possibly a hydrous uranian Thorite
Uranoniobite (of Hermann),Uraninite,A crystalline variety previously thought to contain Nb
Uranophane,,for the chemical composition containing URANium
Uranopilite,,From its content of URANium
Uranopolycrase,Polycrase-(Y),For its content of URANium and relation to polycrase-(Y).
Uranosilite,,For URANium and SILicon in the chemical composition.
Uranospathite,,For its content of uranium
Uranosphaerite,,For URANium in the composition
Uranospinite,,For its uranium content
Uranothorianite,Thorianite,A variety of Thorianite
Uranothorite,Thorite,A uranian variety of Thorite
Uranotungstite,,For its content of URANium and TUNGsten.
Uranpyrochlore (of Hogarth 1977),Pyrochlore Group,The name reflects its uranium content and similarity to pyrochlore
Uricite,,"For its composition, anhydrous uric acid."
Uroxite,,Named for its composition uranyl (UR) oxalate (OX).
Urphoite,,The name is derived from its composition
Ursilite,,The name reflects the URANium and SILicon content
Uvanite,,For Uranium and VANadium in the composition.
Uvite (OH-dominant end-member),Uvite,OH-dominant end-member of Uvite
Vanadian Adelite,Adelite,A variety of Adelite
Vanadian Aegirine,Aegirine,A V3+-bearing variety of aegirine.
Vanadian Mimetite,Mimetite,A vanadium-bearing variety of mimetite.
Vanadian Muscovite,Muscovite,A V-bearing variety of muscovite.
Vanadian Wulfenite,Wulfenite,A variety of Wulfenite containing V in substitution for Mo.
Vanadinbronzite,Enstatite,A vanadium-bearing variety of enstatite.
Vanadinite,,For its content of vanadium.
Vanadio-laumontite,Laumontite,A vanadian Laumontite variety.
Vanadio-oxy-chromium-dravite,Oxy-chromium-dravite,As an oxy-chromium-dravite with dominant vanadium in the Y site and V 3+ contents
Vanadio-oxy-dravite,Oxy-dravite,As an oxy-dravite with dominant vanadium in the Y site and V 3+ contents between 5 and 1.5
Vanadio-pargasite,Pargasite,Vanadio-pargasite is defined as a pargasite group member
Vanadiocarpholite,Carpholite,Named after its chemical composition and the relation to carpholite.
Vanadium,,"The chemical element named for Vanadis, a Scandinavian goddess."
Vanadium Tourmaline,Tourmaline,A V-bearing tourmaline.
Vanadium-dravite,Dravite,For its vanadium content and relationship to dravite
Vanado-Magnetite,Magnetite,A vanadian variety of magnetite. V content reported up to 4.84% (India).
Vanadoallanite-(La),Allanite,"For a member of the allanite group with dominant vanadium in the M1 site and suffix for the dominant rare earth element, lanthanum."
Vanadoandrosite-(Ce),Androsite Root,"An epidote-group mineral in which Ce 3+ is dominant in A2, Mn"
Vanadomalayaite,Malayaite,Named for its vanadium content and chemical relationship to malayaite.
Vanalite,,For VANadium and ALuminum in the composition.
Vanarsite,,"An acronym based on the composition and specifically the fact that it contains vanadate, arsenite, and arsenate groups ."
Vanoxite,,As a VANadium OXide.
Vanuralite,,"For VANadium, URanium, and ALuminum in the composition."
Vanuranylite,,From VANadium and URANium.
Wakefieldite-(Ce),Wakefieldite,The Ce analogue of wakefieldite
Wakefieldite-(La),Wakefieldite,As the La analogue of wakefieldite
Wakefieldite-(Nd),Wakefieldite,The Nd analogue of wakefieldite
Wakefieldite-(Y),Wakefieldite,The Y analogue of wakefieldite
Wallkilldellite-(Fe),Wallkilldellite,The Fe analogue of Wallkilldellite.
Wallkilldellite-(Mn),Wallkilldellite,"No suffix for the manganese dominance was added by the IMA. Any entries that use ""-(Mn)"" are in error."
Whiteite-(CaFeMg),Whiteite,"For the relation to Whiteite. the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Whiteite-(CaMgMg),Whiteite,For a member of the whiteite group with the M3 site occupied by Al3+ and the suffix indicates the dominance of Ca at the X site and Mg at both the M1 and M2 sites.
Whiteite-(CaMnMg),Whiteite,"For its relation to sl whiteite; the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Whiteite-(CaMnMn),Whiteite,"For its relation to sl whiteite; the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Whiteite-(MnFeMg),Whiteite,"For its relation to whiteite; the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Whiteite-(MnMnMg),Whiteite,"For its relation to whiteite; the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Wodanite,Biotite,Ti-bearing variety of biotite
Wolframoixiolite,Ixiolite,A tungsten-bearing variety of ixiolite; possibly a separate species.
Wolframowodginite,Wodginite,As a W variety of wodginite
Xanthoarsenite,,Due to the chemical composition
Xenotime-(Y),Xenotime,Named after its Y content and relationship with Xenotime
Xenotime-(Yb),Xenotime,Named after its Yb content and relationship with Xenotime
Yftisite-(Y),,"The name is derived from its composition: yttrium (Y), fluorine (F), titanium (Ti) and silicon (Si)."
Yttergranat,Garnet,"Y-rich andradite (garnet - ""granat"")"
Yttrialite-(Y),,For the yttrium in its composition.
Yttrian Titanite,Titanite,An yttrium-bearing variety of titanite.
Yttriumapatite,Apatite,A variety of apatite with 3.36 wt% Y2O3
Yttrobetafite (of Hogarth 1977),Betafite,The name is derived from its yttrium content and similarity to betafite
Yttrobetafite-(Y) (of Hogarth 1977),Betafite,As the YTTRium-dominant betafite member of the pyrochlore group.
Yttrocerite,,"Named from its chemical composition containing yttrium (named after Ytterby, Sweden) and cerium (named after the asteroid Ceres)."
Yttrocolumbite-(Y),Columbite,Named after its chemical composition containing yttrium and its similarity to Columbite.
Yttrocrasite-(Y),,"From a dominance of YTTRium in the composition, and the Greek for a mixing, as there are many other elements in addition to yttrium."
Yttroepidote,Epidote,Yttrium-bearing epidote with a Y+REE content below 0.5 apfu.
Yttrofluorite,Fluorite,Yttrofluorite is a variety of fluorite containing an appreciable amount of trivalent yttrium (Y) taking the place of divalent calcium (Ca) cations in the fluorite structure.
Yttrogummite,Gummite,In allusion to its content of yttrium earths and relationship to gummite.
Yttromicrolite,Microlite,According to Y content and affiliation to Microlite group.
Yttromicrolite (of Hogarth),Microlite,According to Y content and affiliation to Microlite group.
Yttromicrolite-(Y),Microlite,According to Y content and affiliation to Microlite group.
Yttropyrochlore (of Hogarth 1977),Pyrochlore Group,The name is derived from its supposed yttrium content and resemblance to pyrochlore-group minerals.
Yttropyrochlore-(Y) (of Hogarth 1977),Pyrochlore Group,As the YTTRium-dominant member of the pyrochlore group.
Yttrotantalite-(Y),Tantalite,For YTTRium in its composition and relation to tantalite.
Yttrotungstite-(Ce),,Named after its chemical composition containing yttrium and tungsten with dominant Ce.
Yttrotungstite-(Y),,For YTTRium and TUNGSTen in the composition.
Zero valent dominant member of the Microlite Group,,"A variety of Microlite Group. Where either vacancy or H2O are dominant, but it cannot be proven which one."
Zero valent dominant member of the Pyrochlore Group,,A variety of Pyrochlore Group. A pyrochlore group member where there is a cation deficit comprised mainly of H2O or site vacancies. This name is used to describe any pyrochlore where it is not possible to specify more accurately than this.
Zinalsite,,"From its composition: zinc (Zin), aluminum (Al) and silicon (Si)"
Zinc-Schefferite,Schefferite,A brown zincian and manganoan Schefferite.
Zincalstibite,Cualstibite,"Named as the zinc analogue of Cualstibite, for its chemical composition containing zinc (Zn), aluminium (Al) and antimony (Sb, from Latin 'stibium')"
Zincaluminite,Aluminite,"For zinc and aluminum in the composition, and its similarity to aluminite."
Zincazurite,Azurite,A zinc rich azurite.
Zinccopperite,,For the composition.
Zincgartrellite,Gartrellite,Named after its zinc content and relationship to Gartrellite
Zincian Acanthite,Acanthite,A variety of Acanthite
Zincian Annabergite,Annabergite,A variety of Annabergite
Zincian Aragonite,Aragonite,A zinc-rich variety of aragonite.
Zincian Calcite,Calcite,A zinc-rich variety of Calcite
Zincian Cerussite,Cerussite,A zincian variety of Cerussite.
Zincian Devilline,Devilline,A zinc-bearing variety of devilline.
Zincian Dolomite,Dolomite,A variety of dolomite containing Zinc
Zincian Garnierite,Garnierite,A variety of Garnierite
Zincian Greenockite,Greenockite,A zinc-bearing variety of greenockite.
Zincian Libethenite,Libethenite,A variety of Libethenite
Zincian Malachite,Malachite,A Zn-bearing variety of malachite with Cu:Zn greater than 4:1
Zincian Manganoan Epsomite,Epsomite,A variety of Epsomite
Zincian Melanterite,Melanterite,Melanterite with part of the Fe replaced by Zn.
Zincian Olivenite,Olivenite,Zinc-bearing olivenite
Zincian Siderite,Siderite,A zinc-bearing variety of siderite
Zincian Stannite,Stannite,A zinc-bearing variety of stannite.
Zincian Staurolite,Staurolite,A zinc-bearing variety of staurolite.
Zincian Tennantite,Tennantite,A zinc-rich variety of tennantite.
Zincian Tetrahedrite,Tetrahedrite,A variety of Tetrahedrite
Zincian Vredenburgite,Vredenburgite,Unnecessary name for a Zn-bearing variety of vredenburgite.
Zincite,,For ZINC in the composition.
Zinclavendulan,Lavendulan,Zn-bearing lavendulan (originally thought to be the Zn-dominant analogue of lavendulan).
Zinclipscombite,Lipscombite,Named as the zinc analogue of Lipscombite
Zincmelanterite,Melanterite,As the zinc-dominant member of the melanterite group.
Zincoberaunite,Beraunite,For its dominant content of zinc and relation to Beraunite
Zincobotryogen,Botryogen,For its dominant content of zinc and relation to botryogen.
Zincobradaczekite,Bradaczekite,The Zn (or rather Zn2Cu2) analogue of bradaczekite.
Zincobriartite,Briartite,Zn analogue of briartite.
Zincochromite,Chromite,Named as the zinc analogue of Chromite.
Zincocopiapite,Copiapite,For its dominant content of zinc and relation to copiapite.
Zincohögbomite-2N2S,Zincohögbomite Root,Named as the zinc dominant mineral
Zincohögbomite-2N6S,Zincohögbomite Root,Named as the zinc dominant mineral
Zincolibethenite,Libethenite,For its composition and relationship to libethenite.
Zincolivenite,Olivenite,Named after its composition containing zinc and its relationship to Olivenite.
Zincomenite,,An allusion to its chemical composition
Zinconigerite-2N1S,Zinconigerite Root,Proposed name for the Zn-dominant mineral of the nigerite group
Zinconigerite-6N6S,Zinconigerite Root,Proposed name for the Zn-dominant mineral of the nigerite group
Zincorhodochrosite,Rhodochrosite,A zinc-bearing variety of rhodochrosite.
Zincospiroffite,Spiroffite,As the zinc-dominant analogue of spiroffite.
Zincostaurolite,Staurolite,Named as the zinc analogue of Staurolite.
Zincostrunzite,Strunzite,Named as the zinc analogue of strunzite
Zincovelesite-6N6S,,For zink in the composition.
Zincovoltaite,Voltaite,As the zinc analog of voltaite.
Zincowoodwardite,Woodwardite,named as the zinc analogue of Woodwardite.
Zincrosasite,Rosasite,Named as the zincian analogue of rosasite.
Zincroselite,Roselite,Named as the zinc-dominant analogue of Roselite.
Zincselenide,,"Due to its chemical composition, including Zn and Se"
Zincsilite,,For ZINC and SILicon in the composition.
Zinczippeite,Zippeite,For its content of zinc and relation to other zippeite group species.
Zinkosite,,Named for the composition (Zn).
Zirconian Halloysite,Halloysite,Halloysite with content 3-4 wt.% ZrO2.
Zirconolite,,As a ZIRCONium-bearing mineral.
Zircophyllite,,"Named after its chemical composition containing Zirconium and analogy to Astrophyllite (Greek <U+03C6><U+03CD><U+03BB><U+03BB><U+03BF><U+03BD> (fyllon), 'leaf', alluding to its micaceous habit)."
Zircosulfate,,For zirconium and sulphate in its composition.
Zirsilite-(Ce),,"Named after its chemical composition containing Zirconium (Zr), Silicon (Si) and Cerium (Ce)."
Zirsinalite,,"For ZIRconium, SIlicon, and sodium, NAtrium, in the composition."
